id,time,longitude,latitude,depth,magnitude,place
nc73810741,2022-11-23 22:34:02.290,-121.6641667,37.2916667,5.82,2.92,"15km E of Seven Trees, CA"
ci40380048,2022-11-23 22:16:57.350,-117.7658333,33.8758333,4.79,2.78,"5km ESE of Yorba Linda, CA"
ci40379888,2022-11-23 13:38:09.700,-117.4441667,35.6381667,6.62,2.51,"15km SSW of Searles Valley, CA"
ci40379696,2022-11-23 03:42:45.020,-115.9686667,32.91,9.87,2.57,"20km N of Ocotillo, CA"
nc73809431,2022-11-19 21:49:22.100,-120.8061667,35.5711667,3.46,2.81,"9km WNW of Templeton, CA"
ci40377816,2022-11-19 04:15:41.720,-116.9511667,34.1968333,9.08,2.62,"6km SW of Big Bear Lake, CA"
nc73808001,2022-11-16 05:22:16.280,-122.4241667,37.4401667,10.54,2.83,"3km S of Half Moon Bay, CA"
nc73805095,2022-11-14 20:29:54.130,-122.7993333,38.8171667,3.39,2.69,"6km NW of The Geysers, CA"
nc73805070,2022-11-14 20:27:18.830,-122.793,38.82,2.92,2.96,"6km NNW of The Geysers, CA"
nc73804360,2022-11-12 17:06:55.630,-121.5528333,36.8175,6.37,2.73,"3km SSW of San Juan Bautista, CA"
nc73804285,2022-11-12 13:11:22.400,-119.5185,38.5111667,4.48,3.09,"3km W of Walker, CA"
nc73804110,2022-11-12 04:31:09.900,-122.0476667,37.8308333,9.69,2.71,"2km SSW of Alamo, CA"
ci40131063,2022-11-11 12:05:35.820,-117.7288333,35.8905,2.73,2.8,"17km ESE of Little Lake, CA"
ci40131047,2022-11-11 11:16:19.920,-117.5666667,35.7415,3.56,3.19,"15km W of Searles Valley, CA"
nc73803290,2022-11-10 13:29:43.910,-122.735,38.8085,2.41,2.61,"2km SW of Cobb, CA"
nc73802785,2022-11-08 16:35:25.910,-120.3948333,39.6085,-1.58,2.76,"15km WSW of Loyalton, CA"
nc73802750,2022-11-08 15:26:06.880,-123.115,39.4851667,3.83,2.63,"16km WNW of Lake Pillsbury, CA"
nc73802520,2022-11-07 19:41:35.350,-119.5206667,38.5181667,4.61,3.23,"4km W of Walker, CA"
nc73802510,2022-11-07 19:38:53.130,-123.1898333,39.7935,5.85,2.51,"5km E of Covelo, CA"
nc73802505,2022-11-07 19:32:58.440,-119.5126667,38.5203333,4.55,2.88,"3km WNW of Walker, CA"
nc73804556,2022-11-07 02:01:27.780,-123.1165,39.4828333,5.64,3.76,"16km WNW of Lake Pillsbury, CA"
ci40129359,2022-11-05 20:39:33.120,-118.2781667,33.8315,11.22,2.69,"0km E of Carson, CA"
nc73803991,2022-11-05 19:06:48.590,-121.2515,36.629,9.46,2.8,"14km NW of Pinnacles, CA"
ci40129239,2022-11-05 10:59:26.120,-117.4993333,35.647,7.95,2.66,"16km SSW of Searles Valley, CA"
nc73803321,2022-11-04 20:27:36.120,-122.795,38.8333333,1.26,2.94,"6km WNW of Cobb, CA"
nc73803326,2022-11-04 20:26:32.930,-122.7961667,38.8331667,2.47,3.19,"6km W of Cobb, CA"
nc73803131,2022-11-04 11:46:03.760,-119.4043333,37.4886667,21.94,2.55,"28km NE of Oakhurst, CA"
nc73802826,2022-11-04 02:08:26.420,-122.8013333,38.8363333,1.81,2.83,"7km WNW of Cobb, CA"
nc73802691,2022-11-03 15:45:22.480,-121.7728333,37.43,8.78,2.8,"9km NE of Alum Rock, CA"
nc73802391,2022-11-02 11:12:23.450,-121.6745,37.3105,7.76,2.77,"15km E of Seven Trees, CA"
nc73802331,2022-11-02 04:58:23.840,-121.3175,36.6871667,3.1,2.54,"11km S of Tres Pinos, CA"
ci40127847,2022-10-31 22:53:45.650,-117.3248333,35.974,2.7,2.86,"24km NNE of Trona, CA"
